TIMESTAMP,BOT,TICKER,ACTION,AMOUNT,PRICE,TOTAL
2026-01-12 16:26:00.917841,random_bot,PLTR,BUY,111,179.81,19958.91
2026-01-12 16:26:00.918882,random_bot,ACHR,BUY,2239,8.74,19568.86
2026-01-12 16:26:00.919290,random_bot,WMT,BUY,164,116.925,19175.7
2026-01-12 16:26:00.919805,random_bot,BABA,BUY,113,165.12,18658.56
2026-01-12 16:26:00.920241,random_bot,AAPL,BUY,71,259.225,18404.975000000002
2026-01-12 16:26:00.920640,random_bot,BBAI,BUY,2947,6.125,18050.375
2026-01-12 16:26:00.920912,random_bot,EOSE,BUY,1090,16.23,17690.7
2026-01-12 16:26:00.921220,random_bot,PSLV,BUY,616,28.125,17325.0
2026-01-12 16:26:00.921686,random_bot,ONDS,BUY,1276,13.31,16983.56
2026-01-12 16:26:00.922140,random_bot,HL,BUY,678,24.545,16641.510000000002
2026-01-12 16:26:00.922463,random_bot,NFLX,BUY,181,90.0645,16301.6745
2026-01-12 16:26:00.922804,random_bot,CDE,BUY,728,21.95,15979.6
2026-01-12 16:26:00.923173,random_bot,PFE,BUY,618,25.36,15672.48
2026-01-12 16:26:00.923443,random_bot,GRAB,BUY,3118,4.925,15356.15
2026-01-12 16:26:00.923700,random_bot,SNDK,BUY,39,381.23,14867.970000000001
2026-01-12 16:26:00.923931,random_bot,WBD,BUY,521,28.285,14736.485
2026-01-12 16:26:00.924196,random_bot,NVO,BUY,242,59.585,14419.57
2026-01-12 16:26:00.924375,random_bot,CMCSA,BUY,490,28.87,14146.300000000001
2026-01-12 16:26:00.924536,random_bot,KVUE,BUY,813,17.08,13886.039999999999
2026-01-12 16:26:00.924672,random_bot,PYPL,BUY,239,56.895,13597.905
2026-01-12 16:26:00.924891,random_bot,OPEN,BUY,1899,7.025,13340.475
2026-01-12 16:26:00.925059,random_bot,CLSK,BUY,1104,11.8341,13064.846399999999
2026-01-12 16:26:00.925334,random_bot,NVTS,BUY,1309,9.785,12808.565
2026-01-12 16:26:00.925553,random_bot,AGNC,BUY,1101,11.3999,12551.2899
2026-01-12 16:26:00.925789,random_bot,PATH,BUY,716,17.185,12304.46
2026-01-12 16:26:00.925982,random_bot,HBAN,BUY,674,17.8699,12044.312600000001
2026-01-12 16:26:00.926171,random_bot,COMP,BUY,960,12.3,11808.0
2026-01-12 16:26:00.926347,random_bot,COF,BUY,50,230.6436,11532.18
2026-01-12 16:26:00.926579,random_bot,AVGO,BUY,32,349.01,11168.32
2026-01-12 16:26:00.926730,random_bot,EXK,BUY,983,11.315,11122.644999999999
2026-01-12 16:26:00.926870,random_bot,SOFI,BUY,412,26.465,10903.58
2026-01-12 16:26:00.927087,random_bot,PLUG,BUY,4667,2.29,10687.43
2026-01-12 16:27:01.352180,random_bot,CRWV,BUY,119,87.49,10411.31
2026-01-12 16:27:01.353243,random_bot,SOUN,BUY,887,11.565,10258.154999999999
2026-01-12 16:27:01.354286,random_bot,NIO,BUY,2085,4.825,10060.125
2026-01-12 16:27:01.354607,random_bot,WMT,SELL,164,116.975,19183.899999999998
2026-01-12 16:27:01.354777,random_bot,IREN,BUY,203,48.44,9833.32
2026-01-12 16:27:01.354901,random_bot,AAPL,SELL,71,259.23,18405.33
2026-01-12 16:27:01.355020,random_bot,RXRX,BUY,2038,4.74,9660.12
2026-01-12 16:27:01.355123,random_bot,AG,BUY,463,20.415,9452.145
2026-01-12 16:27:01.355323,random_bot,MU,BUY,26,345.645,8986.77
2026-01-12 16:27:01.355430,random_bot,RIVN,BUY,475,19.1241,9083.947499999998
2026-01-12 16:27:01.355565,random_bot,HIMS,BUY,286,31.16,8911.76
2026-01-12 16:27:01.355750,random_bot,SMR,BUY,439,19.8989,8735.617100000001
2026-01-12 16:27:01.356139,random_bot,HL,SELL,678,24.4673,16588.829400000002
2026-01-12 16:27:01.356356,random_bot,QBTS,BUY,306,27.9159,8542.2654
2026-01-12 16:27:01.356792,random_bot,GRAB,SELL,3118,4.925,15356.15
2026-01-12 16:27:01.356959,random_bot,AAL,BUY,540,15.52,8380.8
2026-01-12 16:27:01.357141,random_bot,SNAP,BUY,995,8.265,8223.675000000001
2026-01-12 16:27:01.357411,random_bot,CDE,SELL,728,21.9155,15954.484
2026-01-12 16:27:01.357627,random_bot,GOOGL,BUY,24,331.98,7967.52
2026-01-12 16:27:01.357745,random_bot,CMCSA,SELL,490,28.9,14161.0
2026-01-12 16:27:01.357953,random_bot,RGTI,BUY,322,24.52,7895.44
2026-01-12 16:27:01.358196,random_bot,RKLB,BUY,92,83.9405,7722.526
2026-01-12 16:27:01.358369,random_bot,NVO,SELL,242,59.665,14438.93
2026-01-12 16:27:01.360022,random_bot,PL,BUY,318,23.87,7590.660000000001
2026-01-12 16:27:01.360316,random_bot,TEM,BUY,103,71.91,7406.73
2026-01-12 16:27:01.360397,random_bot,VZ,BUY,182,39.94,7269.08
2026-01-12 16:27:01.360715,random_bot,MARA,BUY,690,10.3445,7137.705
2026-01-12 16:27:01.360891,random_bot,PYPL,SELL,239,56.9545,13612.1255
2026-01-12 16:27:01.361159,random_bot,CLSK,SELL,1104,11.795,13021.68
2026-01-12 16:27:01.361290,random_bot,WULF,BUY,522,13.4,6994.8
2026-01-12 16:27:01.361374,random_bot,SMCI,BUY,230,29.815,6857.450000000001
2026-01-12 16:27:01.361585,random_bot,ASTS,BUY,71,94.295,6694.945
2026-01-12 16:27:01.361681,random_bot,NVTS,SELL,1309,9.765,12782.385
2026-01-12 16:27:01.361915,random_bot,COF,SELL,50,230.71,11535.5
2026-01-12 16:27:01.362053,random_bot,COMP,SELL,960,12.32,11827.2
2026-01-12 16:27:01.362217,random_bot,FCX,BUY,114,57.655,6572.67
2026-01-12 16:27:01.362367,random_bot,AVGO,SELL,32,348.63,11156.16
2026-01-12 16:27:01.362585,random_bot,HBAN,SELL,674,17.87,12044.380000000001
2026-01-12 16:28:01.651718,random_bot,IREN,SELL,203,48.4108,9827.3924
2026-01-12 16:28:01.652596,up_down_bot,INTC,BUY,441,45.2593,19959.351300000002
2026-01-12 16:28:01.653868,random_bot,PLUG,SELL,4667,2.2954,10712.6318
2026-01-12 16:28:01.654774,up_down_bot,PLUG,BUY,8528,2.2954,19575.1712
2026-01-12 16:28:01.656581,up_down_bot,PLTR,BUY,106,179.38,19014.28
2026-01-12 16:28:01.657491,random_bot,NIO,SELL,2085,4.8238,10057.623000000001
2026-01-12 16:28:01.657710,up_down_bot,TSLA,BUY,41,448.8701,18403.6741
2026-01-12 16:28:01.658654,up_down_bot,BBAI,BUY,3018,6.108,18433.944
2026-01-12 16:28:01.659634,up_down_bot,RXRX,BUY,3807,4.745,18064.215
2026-01-12 16:28:01.660041,random_bot,SOUN,SELL,887,11.565,10258.154999999999
2026-01-12 16:28:01.660868,up_down_bot,EOSE,BUY,1089,16.2475,17693.5275
2026-01-12 16:28:01.661333,random_bot,APLD,BUY,269,38.81,10439.890000000001
2026-01-12 16:28:01.661895,up_down_bot,AMD,BUY,83,208.45,17301.35
2026-01-12 16:28:01.662595,random_bot,CRWV,SELL,119,87.49,10411.31
2026-01-12 16:28:01.663680,up_down_bot,QBTS,BUY,609,27.925,17006.325
2026-01-12 16:28:01.664175,random_bot,NVDA,BUY,55,184.55,10150.25
2026-01-12 16:28:01.664529,up_down_bot,CDE,BUY,759,21.94,16652.460000000003
2026-01-12 16:28:01.665642,up_down_bot,AAPL,BUY,62,260.9618,16179.631599999999
2026-01-12 16:28:01.665948,random_bot,ACHR,SELL,2239,8.695,19468.105
2026-01-12 16:28:01.666671,up_down_bot,RIVN,BUY,836,19.145,16005.22
2026-01-12 16:28:01.667283,random_bot,EOSE,SELL,1090,16.2475,17709.774999999998
2026-01-12 16:28:01.667657,up_down_bot,MU,BUY,45,345.8881,15564.9645
2026-01-12 16:28:01.668494,random_bot,AMZN,BUY,40,247.88,9915.2
2026-01-12 16:28:01.669270,up_down_bot,HL,BUY,628,24.47,15367.16
2026-01-12 16:28:01.669911,up_down_bot,TEM,BUY,209,72.075,15063.675000000001
2026-01-12 16:28:01.672758,random_bot,QBTS,SELL,306,27.925,8545.050000000001
2026-01-12 16:28:01.673957,up_down_bot,RGTI,BUY,601,24.55,14754.550000000001
2026-01-12 16:28:01.674908,random_bot,NFLX,SELL,181,89.87,16266.470000000001
2026-01-12 16:28:01.675432,up_down_bot,WBD,BUY,511,28.295,14458.745
2026-01-12 16:28:01.676247,up_down_bot,SNDK,BUY,37,383.31,14182.47
2026-01-12 16:28:01.676561,random_bot,HL,BUY,402,24.47,9836.939999999999
2026-01-12 16:28:01.677583,up_down_bot,SMCI,BUY,465,29.8646,13887.038999999999
2026-01-12 16:28:01.678284,random_bot,GOOGL,SELL,24,331.18,7948.32
2026-01-12 16:28:01.678882,up_down_bot,RKLB,BUY,162,84.0,13608.0
2026-01-12 16:28:01.679613,random_bot,TEM,SELL,103,72.075,7423.725
2026-01-12 16:28:01.680375,up_down_bot,ASTS,BUY,141,94.4992,13324.387200000001
2026-01-12 16:28:01.681159,random_bot,SNAP,SELL,995,8.255,8213.725
2026-01-12 16:28:01.682165,up_down_bot,COF,BUY,56,230.85,12927.6
2026-01-12 16:28:01.682536,random_bot,PL,SELL,318,23.8699,7590.6282
2026-01-12 16:28:01.683243,up_down_bot,C,BUY,109,117.135,12767.715
2026-01-12 16:28:01.683837,random_bot,RGTI,SELL,322,24.55,7905.1
2026-01-12 16:28:01.684776,random_bot,T,BUY,405,23.7946,9636.813
2026-01-12 16:28:01.685439,up_down_bot,FCX,BUY,217,57.68,12516.56
2026-01-12 16:28:01.686643,up_down_bot,HOOD,BUY,104,117.69,12239.76
2026-01-12 16:28:01.687498,up_down_bot,COMP,BUY,979,12.325,12066.175
2026-01-12 16:28:01.688489,random_bot,CMCSA,BUY,327,28.855,9435.585000000001
