TIMESTAMP,BOT,TICKER,ACTION,AMOUNT,PRICE,TOTAL
2026-01-09 20:39:02.015839,random_bot,BBAI,BUY,3210,6.23,19998.300000000003
2026-01-09 20:39:02.159960,random_bot,PLUG,BUY,8863,2.2113,19598.7519
2026-01-09 20:39:02.210542,random_bot,RKT,BUY,846,22.7041,19207.6686
2026-01-09 20:39:02.226396,random_bot,AAL,BUY,1184,15.895,18819.68
2026-01-09 20:39:02.237885,random_bot,NFLX,BUY,207,89.075,18438.525
2026-01-09 20:39:02.283334,random_bot,SMR,BUY,881,20.519,18077.238999999998
2026-01-09 20:39:02.303118,random_bot,TSLA,BUY,39,445.82,17386.98
2026-01-09 20:39:02.340612,random_bot,ACHR,BUY,1981,8.7666,17366.6346
2026-01-09 20:39:02.376824,random_bot,F,BUY,1201,14.165,17012.164999999997
2026-01-09 20:39:02.389146,random_bot,UWMC,BUY,3162,5.275,16679.550000000003
2026-01-09 20:39:02.404099,random_bot,DNN,BUY,4981,3.2821,16348.140099999999
2026-01-09 20:39:02.462096,random_bot,IREN,BUY,343,46.7,16018.1
2026-01-09 20:39:02.563546,random_bot,QBTS,BUY,543,28.88,15681.84
2026-01-09 20:39:02.605908,random_bot,NIO,BUY,3284,4.685,15385.539999999999
2026-01-09 20:39:02.624154,random_bot,SNAP,BUY,1832,8.23,15077.36
2026-01-09 20:39:02.637616,random_bot,BMNR,BUY,485,30.4437,14765.1945
2026-01-09 20:39:02.668648,random_bot,NOK,BUY,2238,6.47,14479.859999999999
2026-01-09 20:39:02.709084,random_bot,GRAB,BUY,2905,4.885,14190.925
2026-01-09 20:39:02.709382,random_bot,MARA,BUY,1362,10.205,13899.210000000001
2026-01-09 20:39:02.741329,random_bot,SMCI,BUY,446,30.545,13623.070000000002
2026-01-09 20:39:02.820152,random_bot,RKLB,BUY,156,85.1805,13288.158
2026-01-09 20:39:02.821044,ema_crossover_bot,PLUG,BUY,9044,2.2113,19998.9972
2026-01-09 20:39:02.833115,ema_crossover_bot,APLD,BUY,519,37.7,19566.300000000003
2026-01-09 20:39:02.833412,random_bot,PFE,BUY,514,25.425,13068.45
2026-01-09 20:39:02.856117,random_bot,CRWV,BUY,160,79.93,12788.800000000001
2026-01-09 20:39:02.856178,ema_crossover_bot,NFLX,BUY,215,89.075,19151.125
2026-01-09 20:39:02.872892,ema_crossover_bot,TSLA,BUY,42,445.82,18724.44
2026-01-09 20:39:02.894714,ema_crossover_bot,NIO,BUY,3938,4.685,18449.53
2026-01-09 20:39:02.894959,random_bot,MU,BUY,36,343.5,12366.0
2026-01-09 20:39:02.906876,ema_crossover_bot,PLTR,BUY,101,177.65,17942.65
2026-01-09 20:39:02.910415,random_bot,MSTR,BUY,78,157.91,12316.98
2026-01-09 20:39:02.933872,random_bot,VALE,BUY,864,13.975,12074.4
2026-01-09 20:39:02.935517,ema_crossover_bot,AAPL,BUY,68,259.93,17675.24
2026-01-09 20:39:02.944055,random_bot,ASTS,BUY,119,98.69,11744.11
2026-01-09 20:39:02.963727,random_bot,AMZN,BUY,47,246.73,11596.31
2026-01-09 20:39:02.970659,random_bot,ONDS,BUY,809,14.0502,11366.6118
2026-01-09 20:39:02.995344,ema_crossover_bot,NVO,BUY,293,59.1146,17320.5778
2026-01-09 20:39:03.003896,ema_crossover_bot,PFE,BUY,669,25.425,17009.325
2026-01-09 20:39:03.018968,ema_crossover_bot,MU,BUY,48,343.5,16488.0
2026-01-09 20:39:03.019049,random_bot,NVTS,BUY,1103,10.1054,11146.2562
2026-01-09 20:39:03.066952,ema_crossover_bot,AMZN,BUY,66,246.73,16284.179999999998
2026-01-09 20:39:03.067022,random_bot,ORCL,BUY,54,199.145,10753.83
2026-01-09 20:39:03.087692,random_bot,HIMS,BUY,330,32.3899,10688.667
2026-01-09 20:39:03.090114,ema_crossover_bot,ORCL,BUY,80,199.145,15931.6
2026-01-09 20:39:03.125715,ema_crossover_bot,GOOGL,BUY,47,330.04,15511.880000000001
2026-01-09 20:39:03.126105,random_bot,CIFR,BUY,629,16.685,10494.865
2026-01-09 20:39:03.142403,ema_crossover_bot,CDE,BUY,755,20.375,15383.125
2026-01-09 20:39:03.142508,random_bot,BBD,BUY,2968,3.465,10284.119999999999
2026-01-09 20:39:03.172854,random_bot,PSLV,BUY,380,26.47,10058.6
2026-01-09 20:39:03.176770,ema_crossover_bot,VZ,BUY,371,40.675,15090.425
2026-01-09 20:39:03.176880,random_bot,YMM,BUY,947,10.425,9872.475
2026-01-09 20:39:03.189726,ema_crossover_bot,T,BUY,612,24.1599,14785.8588
2026-01-09 20:39:03.189781,random_bot,GOOGL,BUY,29,330.04,9571.16
2026-01-09 20:39:03.207111,random_bot,AG,BUY,503,18.845,9479.035
2026-01-09 20:39:03.207364,ema_crossover_bot,SNDK,BUY,38,378.54,14384.52
2026-01-09 20:39:03.217113,random_bot,HPE,BUY,417,22.2551,9280.376699999999
2026-01-09 20:39:03.232521,random_bot,CLF,BUY,714,12.755,9107.07
2026-01-09 20:39:03.232658,ema_crossover_bot,AVGO,BUY,41,346.235,14195.635
2026-01-09 20:39:03.246310,ema_crossover_bot,CMCSA,BUY,489,28.455,13914.494999999999
2026-01-09 20:39:03.255983,random_bot,SNDK,BUY,23,378.54,8706.42
2026-01-09 20:39:03.271888,random_bot,NKE,BUY,133,65.535,8716.154999999999
2026-01-09 20:39:03.272020,ema_crossover_bot,GOOG,BUY,41,330.8,13562.800000000001
2026-01-09 20:39:03.310917,ema_crossover_bot,NVDA,BUY,71,186.025,13207.775
2026-01-09 20:39:03.314143,random_bot,HOOD,BUY,74,115.67,8559.58
2026-01-09 20:39:03.314434,ema_crossover_bot,LRCX,BUY,60,218.17,13090.199999999999
2026-01-09 20:39:03.315465,random_bot,HBAN,BUY,461,18.225,8401.725
2026-01-09 20:39:03.316559,ema_crossover_bot,MSFT,BUY,26,478.87,12450.62
2026-01-09 20:39:03.318096,random_bot,WMT,BUY,71,114.87,8155.77
2026-01-09 20:39:03.322038,random_bot,HL,BUY,359,22.4694,8066.5146
2026-01-09 20:39:03.334447,random_bot,AVGO,BUY,22,346.235,7617.17
2026-01-09 20:39:03.338254,random_bot,WULF,BUY,600,12.945,7767.0
2026-01-09 20:39:03.348295,random_bot,AUR,BUY,1607,4.735,7609.145
2026-01-09 20:39:03.361103,random_bot,KO,BUY,106,70.325,7454.450000000001
2026-01-09 20:39:03.362602,random_bot,STLA,BUY,675,10.825,7306.874999999999
2026-01-09 20:39:03.373289,macd_crossover_bot,RKT,BUY,880,22.7041,19979.608
2026-01-09 20:39:03.373346,random_bot,NLY,BUY,307,23.335,7163.845
2026-01-09 20:39:03.376993,random_bot,UUUU,BUY,386,18.1566,7008.4476
2026-01-09 20:39:03.383720,macd_crossover_bot,UWMC,BUY,3715,5.275,19596.625
2026-01-09 20:39:03.388496,random_bot,SLB,BUY,153,44.805,6855.165
2026-01-09 20:39:03.389975,macd_crossover_bot,WBD,BUY,664,28.885,19179.64
2026-01-09 20:39:03.405372,random_bot,IBRX,BUY,2857,2.36,6742.5199999999995
2026-01-09 20:39:03.415708,macd_crossover_bot,KVUE,BUY,1117,16.845,18815.864999999998
2026-01-09 20:39:03.419458,random_bot,OPEN,BUY,890,7.4203,6604.067
2026-01-09 20:39:03.436121,macd_crossover_bot,SMCI,BUY,603,30.545,18418.635000000002
2026-01-09 20:39:03.436208,random_bot,INTC,BUY,143,45.215,6465.745000000001
2026-01-09 20:39:03.440704,macd_crossover_bot,NVTS,BUY,1789,10.1054,18078.5606
2026-01-09 20:39:03.441016,macd_crossover_bot,EOSE,BUY,1182,14.985,17712.27
2026-01-09 20:39:03.441569,macd_crossover_bot,WMT,BUY,151,114.87,17345.37
2026-01-09 20:39:03.443389,macd_crossover_bot,HL,BUY,757,22.4694,17009.3358
2026-01-09 20:39:03.443837,macd_crossover_bot,HPQ,BUY,786,21.195,16659.27
2026-01-09 20:39:03.444223,macd_crossover_bot,FCX,BUY,289,56.52,16334.28
2026-01-09 20:39:03.444727,macd_crossover_bot,LUNR,BUY,830,19.29,16010.699999999999
2026-01-09 20:39:03.451409,macd_crossover_bot,INTC,BUY,347,45.215,15689.605000000001
2026-01-09 20:39:04.584787,sma_crossover_bot,PLUG,BUY,9044,2.2113,19998.9972
2026-01-09 20:39:04.585195,sma_crossover_bot,TSLA,BUY,43,445.82,19170.26
2026-01-09 20:39:04.585517,sma_crossover_bot,WBD,BUY,665,28.885,19208.525
2026-01-09 20:39:04.585779,sma_crossover_bot,NIO,BUY,4019,4.685,18829.015
2026-01-09 20:39:04.586100,sma_crossover_bot,KVUE,BUY,1095,16.845,18445.274999999998
2026-01-09 20:39:04.586375,sma_crossover_bot,NVO,BUY,305,59.1146,18029.953
2026-01-09 20:39:04.586504,sma_crossover_bot,AMZN,BUY,71,246.73,17517.829999999998
2026-01-09 20:39:04.586699,sma_crossover_bot,NVTS,BUY,1719,10.1054,17371.1826
2026-01-09 20:39:04.586837,sma_crossover_bot,CMCSA,BUY,598,28.455,17016.09
2026-01-09 20:39:04.586968,sma_crossover_bot,FCX,BUY,295,56.52,16673.4
2026-01-09 20:39:04.587075,sma_crossover_bot,LRCX,BUY,74,218.17,16144.58
2026-01-09 20:39:04.587198,sma_crossover_bot,INTC,BUY,354,45.215,16006.11
2026-01-09 20:40:01.977491,random_bot,INTC,SELL,143,45.1999,6463.5857
2026-01-09 20:40:02.049487,random_bot,TSLA,SELL,39,445.34,17368.26
2026-01-09 20:40:02.058961,random_bot,F,SELL,1201,14.165,17012.164999999997
2026-01-09 20:40:02.221074,random_bot,NVDA,BUY,34,186.035,6325.19
2026-01-09 20:40:02.270943,up_down_bot,NVDA,BUY,107,186.035,19905.745
2026-01-09 20:40:02.335084,random_bot,PLUG,SELL,8863,2.2145,19627.1135
2026-01-09 20:40:02.382118,up_down_bot,PLUG,BUY,8851,2.2145,19600.539500000003
2026-01-09 20:40:02.388344,up_down_bot,RKT,BUY,845,22.725,19202.625
2026-01-09 20:40:02.418445,tmf_bot,INTC,BUY,442,45.1999,19978.3558
2026-01-09 20:40:02.481602,random_bot,RKT,SELL,846,22.725,19225.350000000002
2026-01-09 20:40:02.495575,up_down_bot,AAL,BUY,1184,15.9,18825.600000000002
2026-01-09 20:40:02.497198,random_bot,APLD,BUY,165,37.4799,6184.1835
2026-01-09 20:40:02.497373,tmf_bot,BBAI,BUY,3148,6.225,19596.3
2026-01-09 20:40:02.513574,random_bot,BBAI,SELL,3210,6.225,19982.25
2026-01-09 20:40:02.542170,up_down_bot,BMNR,BUY,605,30.445,18419.225
2026-01-09 20:40:02.616397,up_down_bot,WBD,BUY,625,28.895,18059.375
2026-01-09 20:40:02.648676,tmf_bot,NFLX,BUY,215,89.0645,19148.8675
2026-01-09 20:40:02.648729,up_down_bot,AGNC,BUY,1545,11.465,17713.425
2026-01-09 20:40:02.672970,tmf_bot,ACHR,BUY,2147,8.7666,18821.8902
2026-01-09 20:40:02.673014,up_down_bot,PLTR,BUY,97,177.6883,17235.7651
2026-01-09 20:40:02.711302,up_down_bot,SMCI,BUY,556,30.5799,17002.4244
2026-01-09 20:40:02.746836,tmf_bot,SMR,BUY,899,20.5034,18432.5566
2026-01-09 20:40:02.765098,up_down_bot,VALE,BUY,1193,13.9774,16675.0382
2026-01-09 20:40:02.765447,rsi_bot,BBD,BUY,5763,3.47,19997.61
2026-01-09 20:40:02.780440,tmf_bot,OKLO,BUY,172,104.62,17994.64
2026-01-09 20:40:02.837446,tmf_bot,RGTI,BUY,705,25.1036,17698.038
