TIME,PRICE,CHANGE_PERCENT,CHANGE_ABSOLUTE
12:09:12,257.14,0.003892881,0.010009766
12:10:53,257.21,0.031107444,0.07998657
12:10:55,257.21,0.031107444,0.07998657
12:11:26,257.18,0.01944067,0.049987793
12:12:05,257.19,0.02333355,0.05999756
12:12:10,257.18,0.01944067,0.049987793
12:12:54,257.16,0.011666775,0.02999878
12:12:54,257.16,0.011666775,0.02999878
12:14:06,257.21,0.031107444,0.07998657
12:14:09,257.21,0.031107444,0.07998657
12:14:18,257.21,0.031107444,0.07998657
12:14:30,257.21,0.031107444,0.07998657
12:14:55,257.21,0.031107444,0.07998657
12:14:58,257.25,0.0466671,0.11999512
12:15:38,257.22,0.035000324,0.08999634
12:16:34,257.2,0.027226431,0.070007324
12:17:43,257.22,0.035000324,0.08999634
12:17:50,250.42,0.035000324,0.08999634
