TIME,PRICE,HIGH,LOW,OPEN,VOLUME
13:30:00,255.14390563964844,255.17999267578125,253.9600067138672,254.6649932861328,2556027.0
13:31:00,254.88499450683594,255.2100067138672,254.54010009765625,255.2100067138672,384445.0
13:32:00,255.61000061035156,255.6199951171875,254.8300018310547,254.89999389648438,399135.0
13:33:00,256.2449951171875,256.3500061035156,255.52000427246094,255.58999633789062,543301.0
13:34:00,256.7149963378906,256.739990234375,255.9550018310547,256.2449951171875,513956.0
13:35:00,257.17999267578125,257.3699951171875,256.70001220703125,256.7200012207031,502607.0
13:36:00,257.3902893066406,257.3999938964844,256.8399963378906,257.2049865722656,383679.0
13:37:00,257.54998779296875,257.6600036621094,257.3299865722656,257.3999938964844,363979.0
13:38:00,258.114990234375,258.1600036621094,257.3949890136719,257.5776062011719,428554.0
13:39:00,257.8800048828125,258.1199951171875,257.7200012207031,258.11260986328125,348586.0
13:40:00,257.82000732421875,258.20001220703125,257.760009765625,257.8699951171875,358091.0
13:41:00,257.7300109863281,257.8999938964844,257.489990234375,257.8442077636719,336350.0
13:42:00,257.6496887207031,257.9599914550781,257.6050109863281,257.73260498046875,260898.0
13:43:00,257.9400939941406,257.9599914550781,257.5400085449219,257.6499938964844,275767.0
13:44:00,257.8949890136719,258.1400146484375,257.7947998046875,257.95989990234375,286740.0
13:45:00,257.7950134277344,258.010009765625,257.760009765625,257.92999267578125,231842.0
13:46:00,257.9700012207031,258.0199890136719,257.6300048828125,257.7950134277344,215481.0
13:47:00,258.4299011230469,258.5400085449219,257.8599853515625,257.9888916015625,478946.0
13:48:00,258.44000244140625,258.5,258.13018798828125,258.4173889160156,294436.0
13:49:00,258.6300048828125,258.6499938964844,258.2200012207031,258.45001220703125,231738.0
13:50:00,258.45001220703125,258.6600036621094,258.29998779296875,258.6199951171875,273976.0
13:51:00,258.7101135253906,258.73260498046875,258.3999938964844,258.45001220703125,271962.0
13:52:00,258.82000732421875,258.8793029785156,258.5668029785156,258.7200012207031,300417.0
13:53:00,258.66009521484375,258.9468994140625,258.6300048828125,258.82000732421875,292778.0
13:54:00,258.9800109863281,259.0400085449219,258.6700134277344,258.6700134277344,361841.0
13:55:00,258.70001220703125,259.0,258.6000061035156,258.9750061035156,332022.0
13:56:00,258.4599914550781,258.8599853515625,258.42999267578125,258.7200012207031,237605.0
13:57:00,258.6050109863281,258.6874084472656,258.45001220703125,258.4700012207031,217293.0
13:58:00,258.3699951171875,258.82000732421875,258.29998779296875,258.6199951171875,372945.0
13:59:00,258.0516052246094,258.45001220703125,258.010009765625,258.3900146484375,179400.0
14:00:00,258.1600036621094,258.260009765625,257.7229919433594,258.0400085449219,252968.0
14:01:00,257.7900085449219,258.1300048828125,257.7699890136719,258.1300048828125,189441.0
14:02:00,257.389892578125,257.8599853515625,257.3399963378906,257.80999755859375,311339.0
14:03:00,257.86749267578125,257.9299011230469,257.3399963378906,257.3900146484375,207538.0
14:04:00,258.1000061035156,258.1299133300781,257.8500061035156,257.8500061035156,172405.0
14:05:00,258.1300048828125,258.29998779296875,258.010009765625,258.0899963378906,160454.0
